Age,Gender,SkinType,HairType,Budget,Concern,Rating,RecommendedService
31,Female,Normal,Thinning,5000,Hair Fall,4.5,Advanced Hair Spa
61,Female,Sensitive,Wavy,5000,Acne,4.0,Chemical Peel Treatment
58,Female,Oily,Wavy,5000,Hair Fall,3.5,Chemical Peel Treatment
27,Female,Dry,Coily,3000,Dullness,3.0,Keratin Therapy
58,Female,Sensitive,Coily,2000,Aging,3.5,Anti-Aging Facial
18,Male,Oily,Coily,1000,Aging,5.0,Deep Cleansing Facial
53,Female,Oily,Coily,1000,Dullness,4.5,Deep Cleansing Facial
53,Female,Sensitive,Thinning,10000,Frizz,5.0,Advanced Hair Spa
53,Female,Dry,Coily,2000,Hair Fall,3.5,Advanced Hair Spa
35,Male,Normal,Coily,5000,Aging,4.0,Gold Glow Therapy
63,Female,Combination,Curly,1500,Pigmentation,3.0,Keratin Therapy
32,Female,Dry,Wavy,500,Dandruff,4.5,Anti-Dandruff Spa
47,Female,Dry,Coily,2000,Dullness,5.0,Keratin Therapy
19,Male,Normal,Coily,2000,Acne,4.0,Chemical Peel Treatment
42,Male,Sensitive,Thinning,5000,Frizz,5.0,Advanced Hair Spa
32,Female,Combination,Coily,2000,Acne,4.5,Chemical Peel Treatment
61,Male,Dry,Coily,1000,Pigmentation,5.0,Gold Glow Therapy
55,Female,Oily,Straight,5000,Dandruff,3.5,Chemical Peel Treatment
29,Female,Sensitive,Curly,1000,Dandruff,4.0,Hair Spa
42,Female,Sensitive,Curly,10000,Acne,4.5,Anti-Dandruff Spa
21,Non-binary,Combination,Wavy,5000,Acne,3.0,Chemical Peel Treatment
33,Female,Oily,Thinning,1000,Aging,3.5,Deep Cleansing Facial
25,Female,Dry,Coily,5000,Hair Fall,4.0,Advanced Hair Spa
56,Non-binary,Oily,Wavy,1500,Acne,5.0,Chemical Peel Treatment
54,Female,Sensitive,Coily,5000,Aging,3.0,Gold Glow Therapy
58,Female,Combination,Thinning,10000,Acne,5.0,Chemical Peel Treatment
40,Female,Combination,Straight,3000,Frizz,4.0,Gold Glow Therapy
49,Female,Combination,Coily,5000,Aging,4.5,Gold Glow Therapy
51,Non-binary,Combination,Thinning,10000,Pigmentation,4.5,Advanced Hair Spa
64,Female,Combination,Wavy,10000,Acne,4.0,Chemical Peel Treatment
33,Male,Normal,Thinning,5000,Dandruff,4.0,Anti-Aging Facial
29,Female,Combination,Curly,1500,Hair Fall,5.0,Scalp Treatment
35,Female,Normal,Wavy,500,Aging,4.5,Anti-Aging Facial
33,Female,Sensitive,Coily,10000,Acne,3.0,Chemical Peel Treatment
43,Female,Combination,Thinning,1500,Dandruff,5.0,Scalp Treatment
45,Non-binary,Normal,Curly,1500,Frizz,4.5,Keratin Therapy
34,Female,Dry,Curly,500,Frizz,5.0,Hair Spa
62,Female,Dry,Coily,1500,Frizz,5.0,Keratin Therapy
51,Female,Oily,Wavy,1500,Aging,4.0,Deep Cleansing Facial
18,Male,Dry,Curly,500,Acne,5.0,Deep Cleansing Facial
26,Female,Sensitive,Straight,10000,Acne,5.0,Chemical Peel Treatment
48,Female,Dry,Straight,1500,Dullness,4.5,Hydrating Facial
22,Female,Oily,Thinning,5000,Frizz,3.0,Chemical Peel Treatment
54,Male,Oily,Wavy,500,Pigmentation,4.5,Deep Cleansing Facial
57,Female,Normal,Coily,2000,Dandruff,4.0,Keratin Therapy
45,Female,Normal,Straight,3000,Frizz,3.0,Keratin Therapy
31,Female,Combination,Straight,1000,Aging,3.5,Anti-Aging Facial
28,Female,Sensitive,Thinning,2000,Hair Fall,3.0,Advanced Hair Spa
63,Female,Sensitive,Straight,5000,Aging,4.0,Gold Glow Therapy
58,Female,Dry,Coily,500,Pigmentation,3.5,Hair Spa
35,Male,Oily,Straight,1000,Dullness,4.0,Deep Cleansing Facial
54,Male,Sensitive,Straight,2000,Frizz,4.0,Keratin Therapy
35,Female,Sensitive,Coily,500,Pigmentation,3.0,Hair Spa
38,Female,Oily,Straight,1000,Frizz,5.0,Deep Cleansing Facial
19,Non-binary,Combination,Thinning,500,Dullness,3.5,Scalp Treatment
59,Female,Combination,Wavy,3000,Dandruff,4.5,Anti-Dandruff Spa
48,Female,Combination,Curly,5000,Acne,3.5,Chemical Peel Treatment
62,Female,Sensitive,Thinning,500,Dandruff,3.0,Scalp Treatment
38,Female,Sensitive,Thinning,10000,Acne,5.0,Chemical Peel Treatment
21,Female,Combination,Thinning,10000,Dandruff,4.5,Advanced Hair Spa
31,Female,Dry,Curly,2000,Frizz,4.5,Keratin Therapy
58,Female,Dry,Wavy,1500,Pigmentation,3.0,Hydrating Facial
23,Female,Oily,Coily,500,Frizz,3.5,Deep Cleansing Facial
63,Female,Combination,Coily,10000,Dandruff,4.5,Keratin Therapy
53,Female,Dry,Thinning,3000,Frizz,3.5,Advanced Hair Spa
35,Male,Sensitive,Curly,10000,Pigmentation,4.0,Keratin Therapy
36,Male,Normal,Thinning,5000,Dandruff,3.5,Advanced Hair Spa
48,Female,Normal,Thinning,2000,Dandruff,4.0,Advanced Hair Spa
62,Female,Sensitive,Wavy,10000,Dullness,4.5,Vitamin C Glow Facial
48,Male,Sensitive,Coily,5000,Dullness,3.5,Keratin Therapy
20,Female,Normal,Curly,10000,Acne,4.5,Chemical Peel Treatment
47,Female,Dry,Coily,10000,Frizz,3.5,Keratin Therapy
34,Female,Sensitive,Straight,10000,Hair Fall,5.0,Advanced Hair Spa
38,Female,Sensitive,Thinning,500,Pigmentation,3.0,Scalp Treatment
61,Male,Dry,Straight,2000,Acne,3.0,Chemical Peel Treatment
62,Female,Oily,Straight,1500,Dullness,3.0,Deep Cleansing Facial
41,Female,Dry,Thinning,2000,Pigmentation,3.5,Advanced Hair Spa
23,Female,Sensitive,Thinning,5000,Aging,4.5,Gold Glow Therapy
27,Female,Combination,Coily,1500,Frizz,3.0,Keratin Therapy
47,Male,Normal,Wavy,500,Dandruff,4.0,Anti-Dandruff Spa
37,Female,Sensitive,Curly,2000,Dullness,4.0,Keratin Therapy
42,Male,Oily,Wavy,2000,Pigmentation,4.0,Chemical Peel Treatment
62,Female,Sensitive,Curly,500,Pigmentation,3.0,Hair Spa
49,Male,Combination,Wavy,3000,Dullness,4.0,Vitamin C Glow Facial
30,Female,Dry,Straight,5000,Frizz,3.0,Keratin Therapy
46,Female,Combination,Wavy,500,Hair Fall,4.0,Scalp Treatment
29,Female,Normal,Curly,3000,Pigmentation,4.0,Keratin Therapy
34,Male,Sensitive,Curly,5000,Dullness,4.0,Keratin Therapy
47,Non-binary,Dry,Wavy,10000,Frizz,4.5,Keratin Therapy
53,Female,Sensitive,Straight,1500,Pigmentation,3.0,De-Tan Treatment
61,Male,Combination,Thinning,2000,Dullness,4.0,Advanced Hair Spa
32,Female,Normal,Thinning,1500,Pigmentation,3.5,Scalp Treatment
58,Male,Combination,Coily,500,Aging,3.0,Anti-Aging Facial
37,Non-binary,Oily,Straight,1000,Pigmentation,3.5,Deep Cleansing Facial
41,Female,Normal,Coily,3000,Frizz,3.5,Keratin Therapy
59,Female,Sensitive,Thinning,2000,Hair Fall,3.0,Advanced Hair Spa
31,Female,Dry,Curly,500,Frizz,4.0,Hair Spa
59,Female,Sensitive,Curly,1000,Acne,4.5,Deep Cleansing Facial
31,Female,Normal,Straight,500,Dullness,4.0,Vitamin C Glow Facial
26,Male,Dry,Straight,10000,Dullness,5.0,Hydrating Facial
31,Male,Dry,Curly,10000,Aging,5.0,Keratin Therapy
26,Female,Dry,Straight,5000,Dullness,3.0,Hydrating Facial
40,Male,Dry,Thinning,1500,Acne,3.5,Deep Cleansing Facial
26,Male,Normal,Straight,5000,Acne,4.5,Chemical Peel Treatment
41,Female,Oily,Coily,3000,Aging,5.0,Classic Swedish Massage
60,Female,Sensitive,Straight,500,Dandruff,4.5,Anti-Dandruff Spa
24,Female,Sensitive,Straight,500,Hair Fall,5.0,Scalp Treatment
26,Female,Normal,Thinning,5000,Hair Fall,4.5,Advanced Hair Spa
51,Female,Normal,Thinning,2000,Acne,3.0,Chemical Peel Treatment
59,Male,Normal,Wavy,2000,Dandruff,3.5,Anti-Dandruff Spa
47,Female,Oily,Curly,2000,Hair Fall,4.0,Chemical Peel Treatment
27,Female,Sensitive,Straight,500,Dullness,3.0,Vitamin C Glow Facial
24,Male,Combination,Wavy,3000,Acne,5.0,Chemical Peel Treatment
53,Female,Oily,Coily,1500,Dullness,4.5,Deep Cleansing Facial
64,Female,Combination,Thinning,1500,Hair Fall,3.0,Scalp Treatment
31,Female,Sensitive,Wavy,10000,Acne,4.0,Chemical Peel Treatment
41,Female,Combination,Thinning,1000,Dullness,4.5,Scalp Treatment
57,Female,Normal,Straight,3000,Frizz,4.0,Chemical Peel Treatment
62,Male,Combination,Curly,500,Aging,3.5,Anti-Aging Facial
43,Female,Oily,Straight,5000,Pigmentation,3.5,Chemical Peel Treatment
47,Female,Combination,Curly,5000,Hair Fall,5.0,Advanced Hair Spa
21,Female,Normal,Straight,5000,Acne,4.0,Chemical Peel Treatment
45,Female,Sensitive,Coily,1500,Aging,5.0,Anti-Aging Facial
45,Female,Normal,Coily,3000,Frizz,4.0,Gold Glow Therapy
56,Female,Dry,Curly,1000,Dullness,3.5,Hair Spa
36,Female,Oily,Coily,5000,Dandruff,3.5,Chemical Peel Treatment
52,Male,Normal,Thinning,10000,Frizz,4.0,Advanced Hair Spa
20,Female,Sensitive,Straight,10000,Hair Fall,5.0,Advanced Hair Spa
43,Male,Sensitive,Curly,500,Dandruff,3.0,Hair Spa
28,Male,Normal,Coily,10000,Frizz,4.0,Keratin Therapy
24,Female,Normal,Coily,3000,Acne,4.5,Chemical Peel Treatment
39,Female,Dry,Straight,3000,Frizz,3.0,Keratin Therapy
30,Male,Combination,Curly,5000,Dullness,3.5,Keratin Therapy
27,Female,Dry,Thinning,1000,Dullness,3.0,Scalp Treatment
58,Female,Normal,Thinning,2000,Frizz,5.0,Advanced Hair Spa
57,Female,Combination,Wavy,2000,Acne,4.5,Chemical Peel Treatment
37,Male,Normal,Straight,1500,Pigmentation,3.0,De-Tan Treatment
46,Female,Combination,Curly,500,Frizz,3.0,Hair Spa
50,Female,Normal,Thinning,10000,Frizz,3.0,Advanced Hair Spa
54,Female,Combination,Thinning,2000,Pigmentation,3.5,Advanced Hair Spa
46,Female,Combination,Straight,3000,Frizz,3.5,Vitamin C Glow Facial
46,Non-binary,Normal,Thinning,3000,Aging,4.0,Gold Glow Therapy
36,Female,Combination,Thinning,500,Dullness,4.0,Scalp Treatment
24,Female,Sensitive,Curly,1500,Frizz,5.0,Keratin Therapy
39,Female,Dry,Curly,1500,Frizz,4.5,Keratin Therapy
63,Male,Combination,Thinning,2000,Frizz,4.0,Advanced Hair Spa
60,Male,Normal,Straight,5000,Frizz,4.5,Keratin Therapy
19,Female,Dry,Wavy,1500,Dullness,4.5,Hydrating Facial
26,Female,Combination,Straight,3000,Dullness,5.0,Vitamin C Glow Facial
51,Female,Combination,Thinning,1000,Pigmentation,4.5,Scalp Treatment
29,Male,Normal,Wavy,5000,Dandruff,3.0,Anti-Dandruff Spa
61,Male,Sensitive,Thinning,1500,Dullness,4.5,Scalp Treatment
33,Female,Sensitive,Wavy,1500,Frizz,5.0,Keratin Therapy
47,Male,Sensitive,Thinning,3000,Dandruff,3.5,Advanced Hair Spa
56,Female,Combination,Straight,5000,Dandruff,4.0,Anti-Dandruff Spa
24,Male,Normal,Straight,1500,Acne,3.5,Deep Cleansing Facial
50,Female,Sensitive,Straight,1000,Dullness,4.5,Vitamin C Glow Facial
19,Female,Sensitive,Thinning,1500,Aging,4.5,Anti-Aging Facial
41,Female,Combination,Straight,10000,Frizz,4.0,Keratin Therapy
26,Female,Sensitive,Wavy,10000,Frizz,4.5,Keratin Therapy
18,Male,Oily,Curly,1000,Dullness,3.5,Deep Cleansing Facial
64,Female,Sensitive,Straight,10000,Hair Fall,3.5,Advanced Hair Spa
21,Female,Normal,Coily,500,Acne,4.5,Deep Cleansing Facial
19,Female,Normal,Wavy,5000,Aging,4.0,Gold Glow Therapy
57,Female,Normal,Coily,1000,Frizz,3.0,Hair Spa
41,Female,Normal,Thinning,3000,Dullness,5.0,Advanced Hair Spa
42,Male,Oily,Coily,1500,Hair Fall,3.0,Deep Cleansing Facial
22,Female,Oily,Thinning,5000,Dullness,4.0,Chemical Peel Treatment
40,Female,Dry,Coily,5000,Dandruff,3.5,Keratin Therapy
22,Male,Sensitive,Straight,1500,Aging,3.0,Anti-Aging Facial
20,Female,Combination,Thinning,2000,Dullness,5.0,Advanced Hair Spa
20,Male,Dry,Curly,1500,Dullness,3.0,Keratin Therapy
39,Female,Combination,Coily,2000,Frizz,4.5,Keratin Therapy
42,Female,Dry,Coily,5000,Dandruff,4.0,Keratin Therapy
51,Female,Oily,Coily,500,Dandruff,5.0,Deep Cleansing Facial
29,Female,Combination,Straight,500,Hair Fall,4.0,Scalp Treatment
56,Male,Dry,Coily,1500,Dandruff,3.0,Keratin Therapy
40,Female,Sensitive,Curly,5000,Dullness,3.0,Keratin Therapy
58,Female,Normal,Wavy,500,Aging,5.0,Anti-Aging Facial
46,Female,Oily,Wavy,10000,Frizz,4.0,Chemical Peel Treatment
54,Female,Dry,Coily,1500,Hair Fall,4.5,Scalp Treatment
54,Female,Combination,Coily,1500,Frizz,4.0,Keratin Therapy
25,Female,Dry,Coily,3000,Dandruff,5.0,Keratin Therapy
34,Male,Dry,Thinning,1500,Frizz,4.5,Scalp Treatment
26,Male,Sensitive,Wavy,5000,Dandruff,3.0,Anti-Dandruff Spa
38,Female,Oily,Thinning,3000,Hair Fall,4.0,Chemical Peel Treatment
63,Male,Dry,Curly,3000,Aging,3.0,Gold Glow Therapy
26,Female,Sensitive,Straight,1500,Pigmentation,5.0,De-Tan Treatment
53,Female,Oily,Straight,1500,Dandruff,4.5,Deep Cleansing Facial
44,Male,Oily,Wavy,1500,Frizz,3.0,Deep Cleansing Facial
61,Female,Dry,Thinning,5000,Pigmentation,3.5,Advanced Hair Spa
26,Female,Oily,Straight,3000,Aging,4.0,Chemical Peel Treatment
38,Male,Dry,Curly,3000,Hair Fall,3.0,Advanced Hair Spa
58,Non-binary,Combination,Wavy,5000,Hair Fall,5.0,Advanced Hair Spa
50,Female,Normal,Thinning,1000,Aging,5.0,Anti-Aging Facial
56,Female,Normal,Straight,10000,Dullness,3.0,Vitamin C Glow Facial
59,Male,Combination,Wavy,10000,Pigmentation,4.5,De-Tan Treatment
19,Female,Normal,Curly,5000,Hair Fall,4.5,Advanced Hair Spa
61,Female,Sensitive,Straight,5000,Acne,3.5,Chemical Peel Treatment
48,Female,Combination,Thinning,1000,Hair Fall,4.0,Scalp Treatment
40,Non-binary,Dry,Curly,3000,Pigmentation,3.0,Keratin Therapy
47,Female,Sensitive,Wavy,1000,Acne,3.0,Deep Cleansing Facial
42,Male,Sensitive,Wavy,10000,Aging,4.0,Gold Glow Therapy
64,Female,Dry,Coily,3000,Dandruff,4.5,Keratin Therapy
49,Female,Sensitive,Thinning,2000,Aging,3.5,Anti-Aging Facial
21,Female,Sensitive,Thinning,10000,Frizz,4.5,Advanced Hair Spa
18,Male,Sensitive,Wavy,1500,Frizz,4.0,Keratin Therapy
41,Female,Oily,Thinning,3000,Aging,4.0,Chemical Peel Treatment
22,Female,Sensitive,Thinning,1500,Dullness,5.0,Scalp Treatment
25,Female,Oily,Coily,1500,Dullness,4.0,Deep Cleansing Facial
41,Male,Dry,Thinning,3000,Dandruff,5.0,Hair Spa
26,Male,Sensitive,Thinning,2000,Aging,5.0,Anti-Aging Facial
26,Female,Normal,Curly,1000,Dandruff,5.0,Hair Spa
37,Female,Normal,Thinning,3000,Dandruff,5.0,Advanced Hair Spa
19,Female,Oily,Coily,3000,Hair Fall,3.0,Chemical Peel Treatment
34,Non-binary,Normal,Thinning,1000,Frizz,3.0,Scalp Treatment
28,Female,Normal,Coily,1000,Dullness,3.5,Vitamin C Glow Facial
25,Female,Sensitive,Curly,2000,Aging,4.5,Anti-Aging Facial
44,Female,Normal,Coily,10000,Dullness,3.0,Keratin Therapy
51,Female,Combination,Coily,3000,Dandruff,4.0,Keratin Therapy
47,Male,Combination,Thinning,1500,Frizz,4.0,Scalp Treatment
30,Non-binary,Combination,Thinning,1500,Aging,4.0,Anti-Aging Facial
63,Female,Sensitive,Curly,2000,Hair Fall,5.0,Advanced Hair Spa
64,Female,Oily,Thinning,5000,Pigmentation,4.5,Chemical Peel Treatment
43,Male,Dry,Curly,500,Hair Fall,3.0,Scalp Treatment
46,Female,Sensitive,Wavy,1000,Dullness,5.0,Vitamin C Glow Facial
53,Female,Dry,Straight,3000,Frizz,5.0,Keratin Therapy
21,Female,Normal,Wavy,5000,Aging,3.0,Gold Glow Therapy
39,Male,Oily,Wavy,500,Pigmentation,3.5,Deep Cleansing Facial
48,Female,Dry,Curly,1500,Hair Fall,3.0,Scalp Treatment
23,Female,Dry,Thinning,5000,Frizz,3.0,Advanced Hair Spa
29,Female,Dry,Straight,10000,Dandruff,4.5,Anti-Dandruff Spa
36,Male,Oily,Curly,3000,Pigmentation,3.0,Chemical Peel Treatment
39,Female,Normal,Thinning,2000,Aging,5.0,Anti-Aging Facial
30,Male,Combination,Wavy,5000,Dandruff,4.0,Anti-Dandruff Spa
18,Male,Combination,Thinning,5000,Dullness,3.5,Advanced Hair Spa
58,Male,Sensitive,Thinning,1500,Acne,4.5,Deep Cleansing Facial
29,Non-binary,Sensitive,Curly,1000,Acne,4.0,Deep Cleansing Facial
46,Male,Combination,Curly,3000,Frizz,5.0,De-Tan Treatment
41,Female,Oily,Straight,2000,Hair Fall,3.5,Chemical Peel Treatment
50,Male,Combination,Straight,5000,Hair Fall,4.0,Advanced Hair Spa
32,Non-binary,Sensitive,Wavy,2000,Frizz,5.0,Keratin Therapy
62,Female,Sensitive,Thinning,10000,Frizz,3.5,Advanced Hair Spa
61,Male,Oily,Thinning,2000,Pigmentation,4.0,Chemical Peel Treatment
54,Female,Normal,Thinning,1000,Pigmentation,5.0,Scalp Treatment
38,Male,Sensitive,Straight,5000,Aging,5.0,Gold Glow Therapy
50,Female,Oily,Coily,1000,Pigmentation,4.5,Deep Cleansing Facial
21,Female,Combination,Straight,2000,Hair Fall,3.0,Advanced Hair Spa
55,Female,Sensitive,Curly,5000,Acne,5.0,Chemical Peel Treatment
22,Non-binary,Sensitive,Straight,1500,Dandruff,3.5,Anti-Dandruff Spa
59,Non-binary,Sensitive,Curly,2000,Dandruff,4.5,Keratin Therapy
61,Non-binary,Normal,Wavy,5000,Dullness,4.0,Vitamin C Glow Facial
52,Female,Dry,Wavy,10000,Acne,3.0,Chemical Peel Treatment
47,Female,Normal,Coily,3000,Dandruff,3.5,Keratin Therapy
40,Female,Dry,Straight,500,Dullness,4.5,Hydrating Facial
19,Female,Oily,Straight,3000,Acne,4.5,Chemical Peel Treatment
63,Male,Dry,Straight,2000,Dandruff,3.5,Anti-Dandruff Spa
21,Female,Combination,Wavy,10000,Frizz,5.0,Keratin Therapy
56,Male,Combination,Wavy,1500,Aging,5.0,Anti-Aging Facial
37,Female,Normal,Thinning,5000,Aging,4.5,Gold Glow Therapy
21,Non-binary,Sensitive,Thinning,1500,Frizz,4.5,Scalp Treatment
37,Female,Normal,Coily,1000,Dullness,3.5,Hair Spa
63,Female,Sensitive,Straight,3000,Dandruff,4.5,Anti-Dandruff Spa
26,Female,Combination,Wavy,1500,Frizz,3.0,Keratin Therapy
41,Female,Dry,Straight,1500,Dandruff,5.0,Anti-Dandruff Spa
22,Female,Normal,Thinning,1000,Dandruff,3.5,Scalp Treatment
39,Female,Oily,Wavy,1000,Frizz,3.0,Deep Cleansing Facial
48,Male,Normal,Wavy,2000,Aging,5.0,Anti-Aging Facial
36,Female,Normal,Curly,1500,Hair Fall,4.0,Scalp Treatment
49,Female,Sensitive,Curly,1000,Hair Fall,4.0,Scalp Treatment
54,Male,Dry,Straight,1500,Pigmentation,5.0,Hydrating Facial
44,Female,Dry,Curly,1000,Dandruff,5.0,Hair Spa
49,Female,Combination,Curly,10000,Dullness,4.5,Keratin Therapy
59,Male,Sensitive,Wavy,5000,Dullness,4.0,Vitamin C Glow Facial
64,Female,Dry,Thinning,5000,Acne,5.0,Scalp Treatment
60,Female,Oily,Coily,1000,Dullness,3.5,Deep Cleansing Facial
27,Female,Normal,Coily,1500,Acne,5.0,Deep Cleansing Facial
57,Male,Sensitive,Straight,500,Pigmentation,5.0,De-Tan Treatment
19,Female,Combination,Thinning,1500,Acne,5.0,Deep Cleansing Facial
61,Female,Dry,Straight,500,Pigmentation,3.5,Hydrating Facial
57,Female,Combination,Curly,10000,Dandruff,3.0,Keratin Therapy
43,Female,Dry,Wavy,1500,Frizz,3.0,Keratin Therapy
59,Male,Oily,Coily,2000,Dandruff,5.0,Chemical Peel Treatment
58,Female,Dry,Straight,2000,Dullness,4.5,Hydrating Facial
39,Female,Oily,Thinning,500,Aging,3.5,Deep Cleansing Facial
62,Male,Sensitive,Curly,500,Acne,4.0,Deep Cleansing Facial
54,Female,Dry,Curly,500,Aging,5.0,Anti-Aging Facial
63,Male,Oily,Curly,1000,Pigmentation,3.5,Deep Cleansing Facial
42,Female,Normal,Curly,2000,Dullness,3.5,Keratin Therapy
62,Male,Normal,Curly,500,Acne,4.5,Deep Cleansing Facial
22,Female,Normal,Thinning,2000,Dullness,4.0,Chemical Peel Treatment
46,Female,Combination,Thinning,2000,Dandruff,3.5,Advanced Hair Spa
60,Female,Normal,Curly,10000,Aging,3.0,Gold Glow Therapy
27,Female,Dry,Coily,1500,Hair Fall,3.0,Scalp Treatment
37,Female,Combination,Straight,1000,Acne,3.5,Deep Cleansing Facial
53,Female,Sensitive,Straight,500,Acne,4.0,Deep Cleansing Facial
56,Female,Combination,Coily,500,Hair Fall,4.5,Scalp Treatment
23,Male,Normal,Wavy,3000,Pigmentation,3.5,De-Tan Treatment
28,Female,Combination,Curly,2000,Aging,3.0,Anti-Aging Facial
35,Female,Sensitive,Straight,1500,Hair Fall,3.5,Scalp Treatment
49,Female,Dry,Coily,500,Aging,4.0,Gold Glow Therapy
39,Male,Sensitive,Curly,2000,Hair Fall,4.5,Advanced Hair Spa
59,Non-binary,Dry,Curly,1500,Pigmentation,3.5,Keratin Therapy
29,Non-binary,Combination,Curly,5000,Frizz,4.5,Keratin Therapy
33,Female,Combination,Coily,1500,Acne,5.0,Deep Cleansing Facial
52,Female,Normal,Straight,5000,Dandruff,3.5,Anti-Dandruff Spa
36,Male,Oily,Coily,5000,Dandruff,3.5,Chemical Peel Treatment
33,Female,Dry,Coily,10000,Dandruff,3.0,Keratin Therapy
56,Female,Sensitive,Thinning,3000,Dullness,4.5,Advanced Hair Spa
41,Male,Normal,Thinning,5000,Acne,3.0,Chemical Peel Treatment
60,Female,Dry,Thinning,500,Pigmentation,4.5,Scalp Treatment
39,Non-binary,Sensitive,Straight,500,Acne,4.0,Deep Cleansing Facial
51,Female,Normal,Wavy,2000,Hair Fall,4.5,Advanced Hair Spa
61,Female,Normal,Wavy,1500,Acne,4.5,Deep Cleansing Facial
